city,state_name,county_fips,county_name,lat,lng,population,density,ranking
South Creek,Washington,53053,Pierce,46.9994,-122.3921,2500,125,3
Roslyn,Washington,53037,Kittitas,47.2507,-121.0989,947,84,3
Sprague,Washington,53043,Lincoln,47.3048,-117.9713,441,163,3
Gig Harbor,Washington,53053,Pierce,47.3352,-122.5968,9507,622,3
Lake Cassidy,Washington,53061,Snohomish,48.0639,-122.092,3591,131,3
Tenino,Washington,53067,Thurston,46.8537,-122.8607,1830,491,3
Jamestown,Washington,53009,Clallam,48.1229,-123.0911,289,191,3
Three Lakes,Washington,53061,Snohomish,47.942,-121.9924,3390,112,3
Curlew Lake,Washington,53019,Ferry,48.7311,-118.6663,573,50,3
Chain Lake,Washington,53061,Snohomish,47.9038,-121.9861,4280,156,3
Pateros,Washington,53047,Okanogan,48.0536,-119.8994,701,536,3
Rosburg,Washington,53069,Wahkiakum,46.3076,-123.6344,385,6,3
Parkland,Washington,53053,Pierce,47.1417,-122.4376,37019,1653,3
Birch Bay,Washington,53073,Whatcom,48.923,-122.7543,8642,208,3
Ashford,Washington,53053,Pierce,46.7537,-122.0113,162,30,3
Navy Yard City,Washington,53035,Kitsap,47.5508,-122.6655,3154,1978,3
Omak,Washington,53047,Okanogan,48.4228,-119.5159,8130,478,3
Farmington,Washington,53075,Whitman,47.0887,-117.0464,154,164,3
Buckley,Washington,53053,Pierce,47.1615,-122.02,4819,482,3
Cathcart,Washington,53061,Snohomish,47.8525,-122.1058,2506,250,3
Poulsbo,Washington,53035,Kitsap,47.7417,-122.6408,10670,869,3
Anacortes,Washington,53057,Skagit,48.4878,-122.6292,17955,559,3
Maplewood,Washington,53053,Pierce,47.3715,-122.5689,5340,248,3
Creston,Washington,53043,Lincoln,47.7595,-118.52,226,212,3
Rockford,Washington,53063,Spokane,47.4513,-117.1307,477,271,3
Wishram,Washington,53039,Klickitat,45.6599,-120.9698,438,131,3
Centralia,Washington,53041,Lewis,46.7225,-122.9695,41643,883,3
South Hill,Washington,53053,Pierce,47.1203,-122.2848,56379,1185,3
